Ingredient,A.D. Fiber,Arginine,Avail. Phos.,Biotin,Calcium,Chlorine,Choline,Cobalt,Concentrate,Copper,Crude Fiber,Crude Protein,Cystine,D.I. Protein,Digest. Energy,Dry Matter Fed,Ether extract,Fish Protein,Folic Acid,Forage,Gly + Ser,Glycine,Hay Activity,Histidine,Iodine,Iron,Isoleucine,Leucine,Linoleic Acid,Lysine,Lysine D Poultry,Lysine D Swine,Magnesium,Manganese,Menadione,Met + Cys,Metab. Energy,Methionine,Methionine D Poultry,Methionine D Swine,N.E. Lactation,NE-g,NE-m,Niacin,Pantothenic Acd,Phe + Tyr,Phenylalanine,Phosphorous,Potassium,Protein,Pyridoxine,Riboflavin,Selenium,Serine,Silage Activity,Sodium,Sulfur,Thiamin,Threonine,Total Phos.,Tryptophan,Tyrosine,U.I. Protein,Valine,Vitamin A,Vitamin B-12,Vitamin D,Vitamin E,Zinc
Rice Bran,,0.8900,0.2100,0.4200,0.0700,0.0700,1.1350,,,13.0000,11.4000,12.9000,0.1000,,,,13.0000,,2.2000,,1.1200,0.8000,,0.3300,,0.1900,0.5200,0.9000,3.5700,0.5900,,,0.9500,324.0000,,0.3000,2.1000,0.2000,,,,,,293.0000,23.0000,1.2600,0.5800,,1.7300,12.9000,14.0000,22.5000,0.4000,0.3200,,0.0700,0.1800,,0.4800,1.5000,0.1500,0.6800,,0.7500,,60.0000,,,30.0000
Rice Polishings,,0.7800,0.1400,0.6100,0.0500,0.1100,1.2370,,,3.0000,4.1000,12.2000,0.1000,,,,11.0000,,0.2000,,2.0700,0.7100,,0.2400,,0.1600,0.4100,0.8000,3.5800,0.5700,,,0.6500,12.0000,,0.3200,3.0900,0.2200,,,,,,520.0000,47.0000,1.0900,0.4600,,1.0600,12.2000,,1.8000,,1.3600,,0.1000,0.1700,19.8000,0.4000,1.3100,0.1300,0.6300,,0.7600,,,,90.0000,26.0000
Roxazyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Bicab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0000,,,,,,,,,,,,,
SS Full Fat Corn Germ,,0.8420,0.2100,,0.0400,,,,,,7.5000,13.5000,,,,,,,,,,,,,,,0.4210,,8.0000,0.4570,,,,,,0.4368,2.7500,0.1990,,,,,,,,,,,,,,,,,,0.0400,,,0.4010,0.8400,0.1120,,,0.6660,,,,,
SS Full Sat Soybeanmeal,,2.6072,0.1920,,0.2400,0.0160,2.2080,,,,3.5000,36.5000,,,,,20.0000,,,,,,,,,,1.6336,,11.0000,2.1840,,,,,,0.9757,3.9000,0.4884,,,,,,,,,,,2.0000,,,,,,,0.0160,,,1.3015,0.5280,0.5070,,,1.5653,,,,,
SS Soyabean Meal DHP,,3.2680,0.2400,,0.3000,0.0200,2.7600,,,,3.5000,46.5000,,,,,1.5000,,,,,,,,,,1.9580,,1.0800,2.6980,,,,,,1.1450,2.4500,0.5950,,,,,,,,,,,2.1400,,,,,,,0.0200,,,1.6160,0.6600,0.5910,,,2.0370,,,,,
SS Soyabean Meal NP,,2.8899,0.2000,,0.3000,0.0500,,,,,5.5000,42.5000,,,,88.0000,,,,,,,,,,,1.6392,,1.0000,2.3316,,,,,,1.1220,2.4500,0.5391,,,,,,,,,,,,,,,,,,0.0200,,,1.4365,0.6900,0.5391,,,1.6978,,,,,
Wheat Bran,,0.9800,0.3400,0.4800,0.1400,0.0600,1.8800,,,14.0000,11.0000,15.7000,0.2500,,,,3.0000,,1.2000,,1.8000,0.9000,,0.3400,,0.1700,0.5900,0.9100,1.7000,0.5900,,,0.5200,113.0000,,0.4200,1.3000,0.1700,,,,,,186.0000,31.0000,0.8900,0.4900,,1.1900,15.7000,7.0000,4.6000,0.8500,0.9000,,0.0500,0.2200,8.0000,0.4200,1.1500,0.3000,0.4000,,0.7300,,,,14.0000,133.0000
White Fish Meal,,4.0200,3.8100,0.0800,7.3100,0.5000,3.0990,,,6.0000,0.7000,62.6000,0.7500,,,,4.6000,,0.3000,,7.4800,4.4200,,1.3400,,0.1810,2.7200,4.3600,0.0800,4.5300,,,0.1800,12.0000,,2.4300,2.5930,1.6800,,,,,,59.0000,9.9000,4.1100,2.2800,,0.8300,62.6000,5.9000,1.7000,1.6200,3.0600,,0.7800,0.4800,90.0000,2.5700,3.8100,0.6700,1.8300,,3.0200,,9.0000,,,90.0000
Zargo Min 3806,,,,,,,,1000.0000,,10000.0000,,,,,,,,,,,,,,,2000.0000,60.0000,,,,,,,,160000.0000,,,,,,,,,,,,,,,,,,,300.0000,,,,,,,,,,,,,,,,100000.0000
Zargo Vit-528,,,,100.0000,,,,,,,,,,,,,,,500.0000,,,,,,,,,,,,,,,,20000.0000,,,,,,,,,200000.0000,60000.0000,,,,,,20000.0000,30000.0000,,,,,,1000.0000,,,,,,,50000.0000,100000.0000,10000.0000,7500.0000,
